M_H_ptilda,Ptilda0,Ptilda1,Ptilda2,Ptilda3,Ptilda4,Ptilda5,Ptilda6,Ptilda7,Ptilda8,Ptilda9,Ptilda10,Ptilda11
0.0,1.0025328331783403,0.9497974834669496,0.8771016289586357,0.7831970616305208,0.6667292841600158,0.6089637767520572,0.5499147828857633,0.4896377881764279,0.42818512545197834,0.3880865895540544,0.34558986517786977,0.29706682491493563
0.05,0.9673505892773028,0.920889538064916,0.8547242119030575,0.7676224258180926,0.6582470699556288,0.6022746657928868,0.5449663419044695,0.4863798506160677,0.42656966266765306,0.38673922118713466,0.3446903395992902,0.29706682491493563
0.1,0.9321683453762651,0.8919815926628825,0.8323467948474791,0.7520477900056642,0.6497648557512418,0.5955855548337166,0.5400179009231756,0.48312191305570756,0.42495419988332767,0.3853918528202148,0.34379081402071066,0.29706682491493563
0.15000000000000002,0.8991554997032334,0.8630736472608489,0.8099693777919007,0.7364731541932359,0.6412826415468547,0.5888964438745463,0.5350694599418817,0.47986397549534743,0.4233387370990024,0.38404448445329503,0.34289128844213107,0.29706682491493563
0.2,0.8663454915014345,0.8347592837090803,0.7875919607363224,0.7208985183808077,0.6328004273424677,0.5822073329153761,0.5301210189605879,0.4766060379349872,0.421723274314677,0.38269711608637524,0.3419917628635515,0.29706682491493563
0.25,0.837291051785377,0.8070692987084612,0.7652145436807443,0.7053238825683793,0.6243182131380807,0.5755182219562058,0.5251725779792941,0.47334810037462705,0.42010781153035165,0.38134974771945546,0.3410922372849719,0.29706682491493563
0.30000000000000004,0.8082366120693196,0.7809056075214029,0.7427767201595574,0.689749246755951,0.6158359989336937,0.5688291109970356,0.5202241369980003,0.4700901628142669,0.4184923487460263,0.3800023793525358,0.34019271170639226,0.29706682491493563
0.35000000000000003,0.7810426725881633,0.7560083972481465,0.720431297524884,0.6733437329625691,0.6073537847293066,0.5621400000378654,0.5152756960167064,0.4668322252539067,0.41687688596170097,0.37865501098561594,0.3392931861278127,0.29706682491493563
0.4,0.753861214461366,0.7321000262830271,0.6996806036581373,0.6561408278445064,0.5987954014136462,0.5554508890786951,0.5103272550354127,0.4635742876935466,0.4152614231773756,0.3773076426186962,0.3383936605492331,0.29706682491493563
0.45,0.7304271578518227,0.7091845080133681,0.6789399953777543,0.6392690576161083,0.586810469079276,0.5476030612526148,0.5053408520589122,0.46031635013318645,0.4136459603930503,0.37596027425177636,0.33749413497065356,0.29706682491493563
0.5,0.7071561967475262,0.6882795856178765,0.6603635456333357,0.6226542084769779,0.5747895040807918,0.5387396196473238,0.4995309905409276,0.45730045864883445,0.41214454021360325,0.37461290588485663,0.3365946093920739,0.29706682491493563
0.55,0.6849089642348353,0.6694163450468179,0.641863948164961,0.6072908419791907,0.5622998691351752,0.5293307629719528,0.4936544375006791,0.4544784589076071,0.41224678290895156,0.3738110282091237,0.3356950838134944,0.29706682491493563
0.6000000000000001,0.6626617317221444,0.6491634507964729,0.6273674805652397,0.5931284860918425,0.5498551623103958,0.5194948730518993,0.4865198069616257,0.45081295906489605,0.412299624432548,0.37389013791247766,0.3354567125411342,0.29706682491493563
0.65,0.6404144992094536,0.6278033652780465,0.6125674679549645,0.5810964845542982,0.5401838884367728,0.5107538190469466,0.47942519161496283,0.4464283898807614,0.4107152531450392,0.37308711982691106,0.3352922311805286,0.29706682491493563
0.7000000000000001,0.6181672666967627,0.60644327975962,0.5927310231381623,0.5708682395674574,0.5307446912662993,0.5030093354025433,0.47357953695441096,0.4422648530972078,0.40910572662693534,0.37175532468262945,0.33440902698377156,0.29706682491493563
0.75,0.5959200341840718,0.5850831942411936,0.5728945783213601,0.5570856066465594,0.52468941746977,0.4967316181711922,0.46783022561906,0.43829067044372844,0.40697624598512505,0.3703366656688291,0.33370019415404595,0.29706682491493563
0.8,0.5736728016713809,0.5637231087227671,0.5530581335045578,0.5404774737903211,0.5186842705877046,0.49161875882114864,0.4638907454675256,0.4351515445087567,0.4049087486187385,0.3689616978724676,0.33301437501895115,0.29706682491493563
0.8500000000000001,0.5514255691586901,0.5423630232043407,0.5332216886877555,0.5238693409340828,0.5135022286785675,0.48771964490391945,0.4604996290583787,0.4327410749067176,0.40445880296373693,0.36868025219500594,0.3328818344940553,0.29706682491493563
0.9,0.5291783366459991,0.5210029376859142,0.5133852438709534,0.5072612080778444,0.5083201867694306,0.484229246314878,0.4578099107952594,0.430518234968428,0.4028056366101547,0.36784476389353893,0.33255187992573554,0.29706682491493563
0.9500000000000001,0.5069311041333083,0.4996428521674877,0.4935487990541511,0.49065307522160606,0.5031381448602937,0.48073884772583647,0.4551201925321401,0.42829539503013847,0.40088860851594404,0.3668162287581597,0.3321216065485188,0.29706682491493563
1.0,0.4846838716206175,0.4782827666490613,0.473712354237349,0.4740449423653677,0.4979561029511567,0.477248449136795,0.4524304742690208,0.426072555091849,0.3989715804217332,0.3657876936227806,0.33169133317130206,0.29706682491493563
