M_H_ce,Cetilda0,Cetilda1,Cetilda2,Cetilda3,Cetilda4,Cetilda5,Cetilda6,Cetilda7,Cetilda8,Cetilda9,Cetilda10,Cetilda11
0.1,1.0960984606169182,1.0791839345027014,1.0724510450401328,1.0770751904270177,1.0944199314611847,1.0454468395753622,0.9942230166239461,0.9396779148623974,0.8799341269960963,1.0281135793626823,1.1861626866864432,1.356442346623458
0.15000000000000002,1.144740362895425,1.1244589048758202,1.1142474584099362,1.1151253301992392,1.1284239381576349,1.0802035546913846,1.0299384575406378,0.9766560899852129,0.9186508904654171,1.0631419272145572,1.216957857630243,1.3823292682624655
0.20000000000000004,1.1933839071566616,1.1705914027549995,1.1560438717797397,1.153175469971461,1.1624279448540853,1.1149602698074073,1.0656538984573298,1.0136342651080286,0.9573676539347379,1.0981702750664322,1.2477530285740424,1.4082161899014731
0.25000000000000006,1.2433021164326783,1.217501871360434,1.198034478083666,1.1912256097436824,1.1964319515505355,1.1497169849234294,1.1013693393740218,1.050612440230844,0.9960844174040585,1.1331986229183073,1.278548199517842,1.4341031115404808
0.30000000000000004,1.2933158413617742,1.2657361970240473,1.2430002572890602,1.229275749515904,1.2304359582469857,1.184473700039452,1.1370847802907136,1.0875906153536596,1.034801180873379,1.1682269707701822,1.3093433704616415,1.4599900331794882
0.3500000000000001,1.3432177432352328,1.3149324817203913,1.2887175617540643,1.2701483347270586,1.2644399649434361,1.2192304151554745,1.1728002212074056,1.1245687904764752,1.0735179443426999,1.2032553186220571,1.3401385414054412,1.4858769548184958
0.40000000000000013,1.3931137985448565,1.3640871806961372,1.336979018754103,1.3129165326872232,1.299290276664713,1.253987130271497,1.2085156621240973,1.161546965599291,1.1122347078120207,1.238283666473932,1.3709337123492407,1.5117638764575034
0.45000000000000007,1.446291179461115,1.4132259868309704,1.3852404757541388,1.359555217958133,1.3395552410382805,1.291562078771133,1.244381121717204,1.1985251407221065,1.1509514712813413,1.273312014325807,1.4017288832930404,1.5376507980965106
0.5000000000000001,1.499661840850923,1.4637897593438491,1.433501932754172,1.4067509746343512,1.3827943029295793,1.3310833899095535,1.2832338721732846,1.236143715382743,1.189668234750662,1.308340362177682,1.4325240542368398,1.5635377197355182
0.5500000000000002,1.5493396796543446,1.5145954744914172,1.4816898554692004,1.4539839498006473,1.4287196744747301,1.373913806498974,1.322619998669544,1.2743921703379146,1.2274080339324758,1.3431560227942,1.4633192251806393,1.5894246413745259
0.6000000000000002,1.5989726714216375,1.561937865259842,1.5298552316263607,1.5000094348455049,1.4747303032866448,1.417146054506484,1.3635428540578056,1.3130582575052658,1.2651076172954545,1.377502705084578,1.4942791442595484,1.6153402936517929
0.6500000000000001,1.6486056631889303,1.6090051637419196,1.5751991309473203,1.5454557055969966,1.5187675526940136,1.4603783025139894,1.4044657094460677,1.351976428387479,1.3022748673700384,1.4121161771950905,1.5253225948298696,1.643129086278408
0.7000000000000002,1.6982386549562236,1.6560724622239975,1.6201020361404486,1.5889791920019947,1.561412373623629,1.5024676865614301,1.4453885648343303,1.390937050782607,1.3394392055998994,1.4472805677911187,1.5576719263043122,1.670917878905023
0.7500000000000002,1.7478716467235165,1.7031397607060752,1.6650049413335763,1.6320316819377505,1.6031727941011387,1.5440121140108598,1.4857592028923141,1.4299099967330946,1.3767438499284765,1.4832176605419345,1.5906850463484548,1.701606353275857
0.8000000000000002,1.7975046384908093,1.7502070591881531,1.7099078465267044,1.6750841718735061,1.6446251462710515,1.584627166089298,1.525755128419386,1.4684781784705316,1.4140484942570535,1.5201947130550848,1.6266366036758886,1.7335554345634752
0.8500000000000002,1.8471376302581024,1.7972743576702308,1.7548107517198326,1.718136661809262,1.6860774984409646,1.6252422181677362,1.5652076575901583,1.5065527777627459,1.4503594749861628,1.5562004635465478,1.6625722593133327,1.7694756279793975
0.9000000000000002,1.8967706220253953,1.8443416561523085,1.7997136569129608,1.7611891517450176,1.7275298506108772,1.6658572702461745,1.6046601867609303,1.5442824085768005,1.4855044529815382,1.5911443535491978,1.697016914782874,1.8031270526980383
0.9500000000000003,1.9464036137926881,1.8914089546343866,1.8446165621060888,1.8042416416807736,1.7689822027807902,1.7064723223246125,1.6441127159317024,1.582012039390855,1.5204169641511343,1.6256552205131147,1.7311260179151382,1.8368294602629422
1.0000000000000004,1.9960366055599812,1.9384762531164645,1.889519467299217,1.8472941316165292,1.810434554950703,1.7470873744030508,1.6835652451024747,1.61974167020491,1.5553294753207305,1.660166087477032,1.7652351210474029,1.8705366798841288
